
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:35284","MIR1291","microRNA 1291","MIRN1291","hsa-mir-1291","12q13.11"
"HGNC:35364","MIR1292","microRNA 1292","MIRN1292","hsa-mir-1292","20p13"
"HGNC:35286","MIR1293","microRNA 1293","MIRN1293","hsa-mir-1293","12q13.12"
"HGNC:35287","MIR1294","microRNA 1294","MIRN1294","hsa-mir-1294","5q33.2"
"HGNC:35288","MIR1295A","microRNA 1295a","MIRN1295,MIR1295","hsa-mir-1295","1q24.3"
"HGNC:43524","MIR1295B","microRNA 1295b","","hsa-mir-1295b","1q24.3"
"HGNC:35249","MIR1296","microRNA 1296","MIRN1296","hsa-mir-1296","10q21.3"
"HGNC:35289","MIR1297","microRNA 1297","MIRN1297","hsa-mir-1297","13q14.3"
"HGNC:35258","MIR1298","microRNA 1298","MIRN1298","hsa-mir-1298","Xq23"
"HGNC:35290","MIR1299","microRNA 1299","MIRN1299","hsa-mir-1299","9p11.2"
"HGNC:35253","MIR1301","microRNA 1301","MIRN1301","hsa-mir-1301","2p23.3"
"HGNC:35301","MIR1303","microRNA 1303","MIRN1303","hsa-mir-1303","5q33.2"
"HGNC:35302","MIR1304","microRNA 1304","MIRN1304","hsa-mir-1304","15q21.2"
"HGNC:35303","MIR1305","microRNA 1305","MIRN1305","hsa-mir-1305","4q34.3"
"HGNC:35371","MIR1306","microRNA 1306","MIRN1306","hsa-mir-1306","22q11.21"
"HGNC:35372","MIR1307","microRNA 1307","MIRN1307","hsa-mir-1307","10q24.33"
"HGNC:35373","MIR1321","microRNA 1321","MIRN1321","hsa-mir-1321","Xq21.2"
"HGNC:35374","MIR1322","microRNA 1322","MIRN1322","hsa-mir-1322","8p23.1"
"HGNC:35251","MIR1323","microRNA 1323","MIRN1323","hsa-mir-1323","19q13.42"
"HGNC:35377","MIR1324","microRNA 1324","MIRN1324","hsa-mir-1324","3p12.3"
"HGNC:41902","MIR1343","microRNA 1343","","hsa-mir-1343","11p13"
"HGNC:35250","MIR1468","microRNA 1468","MIRN1468","hsa-mir-1468","Xq11.1"
"HGNC:35378","MIR1469","microRNA 1469","MIRN1469","hsa-mir-1469","15q26.2"
"HGNC:35379","MIR1470","microRNA 1470","MIRN1470","hsa-mir-1470","19p13.12"
"HGNC:35380","MIR1471","microRNA 1471","MIRN1471","hsa-mir-1471","2q37.1"
"HGNC:35381","MIR1537","microRNA 1537","MIRN1537","hsa-mir-1537","1q42.3"
"HGNC:35382","MIR1538","microRNA 1538","MIRN1538","hsa-mir-1538","16q22.1"
"HGNC:35383","MIR1539","microRNA 1539","MIRN1539","hsa-mir-1539","18q21.1"
"HGNC:41596","MIR1587","microRNA 1587","","hsa-mir-1587","Xp11.4"
"HGNC:35389","MIR1825","microRNA 1825","MIRN1825","hsa-mir-1825","20q11.21"
"HGNC:35391","MIR1827","microRNA 1827","MIRN1827","hsa-mir-1827","12q23.1"
"HGNC:54161","MIR1843","microRNA 1843","","hsa-mir-1843","1q25.1"
"HGNC:35392","MIR1908","microRNA 1908","MIRN1908","hsa-mir-1908","11q12.2"
"HGNC:35393","MIR1909","microRNA 1909","MIRN1909","hsa-mir-1909","19p13.3"
"HGNC:35394","MIR1910","microRNA 1910","MIRN1910","hsa-mir-1910","16q24.1"
"HGNC:35395","MIR1911","microRNA 1911","MIRN1911","hsa-mir-1911","Xq23"
"HGNC:35396","MIR1912","microRNA 1912","MIRN1912","hsa-mir-1912","Xq23"
"HGNC:35397","MIR1913","microRNA 1913","MIRN1913","hsa-mir-1913","6q27"
"HGNC:35398","MIR1914","microRNA 1914","MIRN1914","hsa-mir-1914","20q13.33"
"HGNC:35399","MIR1915","microRNA 1915","MIRN1915","hsa-mir-1915","10p12.31"
"HGNC:37061","MIR1973","microRNA 1973","","hsa-mir-1973","4q26"
"HGNC:37064","MIR1976","microRNA 1976","","hsa-mir-1976","1p36.11"
"HGNC:37068","MIR2052","microRNA 2052","","hsa-mir-2052","8q21.13"
"HGNC:37069","MIR2053","microRNA 2053","","hsa-mir-2053","8q23.3"
"HGNC:37070","MIR2054","microRNA 2054","","hsa-mir-2054","4q28.1"
"HGNC:37071","MIR2110","microRNA 2110","","hsa-mir-2110","10q25.3"
"HGNC:37058","MIR2113","microRNA 2113","","hsa-mir-2113","6q16.1"
"HGNC:37308","MIR2114","microRNA 2114","","hsa-mir-2114","Xq28"
"HGNC:37309","MIR2115","microRNA 2115","","hsa-mir-2115","3p21.31"
"HGNC:37310","MIR2116","microRNA 2116","","hsa-mir-2116","15q22.2"
"HGNC:37311","MIR2117","microRNA 2117","","hsa-mir-2117","17q21.31"
"HGNC:37313","MIR2276","microRNA 2276","","hsa-mir-2276","13q12.12"
"HGNC:37314","MIR2277","microRNA 2277","","hsa-mir-2277","5q15"
"HGNC:37315","MIR2278","microRNA 2278","","hsa-mir-2278","9q22.32"
"HGNC:38328","MIR2355","microRNA 2355","","hsa-mir-2355","2q33.3"
"HGNC:41843","MIR2392","microRNA 2392","","hsa-mir-2392","14q32.2"
"HGNC:41881","MIR2467","microRNA 2467","","hsa-mir-2467","2q37.3"
"HGNC:41532","MIR2681","microRNA 2681","","hsa-mir-2681","13q33.1"
"HGNC:41688","MIR2682","microRNA 2682","","hsa-mir-2682","1p21.3"
"HGNC:38221","MIR2861","microRNA 2861","","hsa-mir-2861","9q34.11"
"HGNC:38372","MIR2909","microRNA 2909","","hsa-mir-2909","17q12"
"HGNC:54162","MIR3059","microRNA 3059","","hsa-mir-3059","12q21.32"
"HGNC:41652","MIR3064","microRNA 3064","","hsa-mir-3064","17q23.3"
"HGNC:38234","MIR3065","microRNA 3065","","hsa-mir-3065","17q25.3"
"HGNC:38268","MIR3074","microRNA 3074","","hsa-mir-3074","9q22.32"
"HGNC:54163","MIR3085","microRNA 3085","","hsa-mir-3085","10q24.2"
"HGNC:38371","MIR3115","microRNA 3115","","hsa-mir-3115","1p36.12"
"HGNC:38385","MIR3117","microRNA 3117","","hsa-mir-3117","1p31.3"
"HGNC:38295","MIR3120","microRNA 3120","","hsa-mir-3120","1q24.3"
"HGNC:38259","MIR3121","microRNA 3121","","hsa-mir-3121","1q25.3"
"HGNC:38320","MIR3122","microRNA 3122","","hsa-mir-3122","1q32.3"
"HGNC:38330","MIR3123","microRNA 3123","","hsa-mir-3123","1q43"
"HGNC:38262","MIR3124","microRNA 3124","","hsa-mir-3124","1q44"
"HGNC:38219","MIR3125","microRNA 3125","","hsa-mir-3125","2p24.3"
"HGNC:38225","MIR3126","microRNA 3126","","hsa-mir-3126","2p13.3"
"HGNC:38269","MIR3127","microRNA 3127","","hsa-mir-3127","2q11.2"
"HGNC:38188","MIR3128","microRNA 3128","","hsa-mir-3128","2q31.2"
"HGNC:38217","MIR3129","microRNA 3129","","hsa-mir-3129","2q32.2"
"HGNC:38347","MIR3131","microRNA 3131","","hsa-mir-3131","2q35"
"HGNC:38373","MIR3132","microRNA 3132","","hsa-mir-3132","2q35"
"HGNC:38305","MIR3133","microRNA 3133","","hsa-mir-3133","2q37.3"
"HGNC:38254","MIR3134","microRNA 3134","","hsa-mir-3134","3p25.1"
"HGNC:38199","MIR3135A","microRNA 3135a","MIR3135","hsa-mir-3135","3p24.3"
"HGNC:41783","MIR3135B","microRNA 3135b","","hsa-mir-3135b","6p21.32"
"HGNC:38340","MIR3136","microRNA 3136","","hsa-mir-3136","3p14.1"
"HGNC:38263","MIR3137","microRNA 3137","","hsa-mir-3137","3q29"
"HGNC:38341","MIR3138","microRNA 3138","","hsa-mir-3138","4p16.1"
"HGNC:38201","MIR3139","microRNA 3139","","hsa-mir-3139","4q31.21"
"HGNC:38183","MIR3140","microRNA 3140","","hsa-mir-3140","4q31.3"
"HGNC:38326","MIR3141","microRNA 3141","","hsa-mir-3141","5q33.2"
"HGNC:38297","MIR3142","microRNA 3142","","hsa-mir-3142","5q33.3"
"HGNC:38284","MIR3143","microRNA 3143","","hsa-mir-3143","6p22.1"
"HGNC:38331","MIR3144","microRNA 3144","","hsa-mir-3144","6q22.31"
"HGNC:38327","MIR3145","microRNA 3145","","hsa-mir-3145","6q24.1"
"HGNC:38368","MIR3146","microRNA 3146","","hsa-mir-3146","7p21.1"
"HGNC:38300","MIR3147","microRNA 3147","","hsa-mir-3147","7p11.2"
"HGNC:38215","MIR3148","microRNA 3148","","hsa-mir-3148","8p12"
"HGNC:38251","MIR3149","microRNA 3149","","hsa-mir-3149","8q21.13"
"HGNC:38362","MIR3150A","microRNA 3150a","MIR3150","hsa-mir-3150,hsa-mir-3150a","8q22.1"
"HGNC:38938","MIR3150B","microRNA 3150b","","hsa-mir-3150b","8q22.1"
"HGNC:38266","MIR3151","microRNA 3151","","hsa-mir-3151","8q22.3"
"HGNC:38379","MIR3152","microRNA 3152","","hsa-mir-3152","9p22.1"
"HGNC:38289","MIR3153","microRNA 3153","","hsa-mir-3153","9q22.2"
"HGNC:38176","MIR3154","microRNA 3154","","hsa-mir-3154","9q34.11"
"HGNC:38245","MIR3155A","microRNA 3155a","MIR3155","hsa-mir-3155","10p15.1"
"HGNC:50003","MIR3155B","microRNA 3155b","","hsa-mir-3155b","10p15.1"
"HGNC:38172","MIR3157","microRNA 3157","","hsa-mir-3157","10q24.1"
"HGNC:38181","MIR3159","microRNA 3159","","hsa-mir-3159","11p15.1"
"HGNC:38285","MIR3161","microRNA 3161","","hsa-mir-3161","11p11.2"
"HGNC:38271","MIR3162","microRNA 3162","","hsa-mir-3162","11q12.1"
"HGNC:38209","MIR3163","microRNA 3163","","hsa-mir-3163","11q13.2"
"HGNC:38288","MIR3164","microRNA 3164","","hsa-mir-3164","11q13.3"
"HGNC:38335","MIR3165","microRNA 3165","","hsa-mir-3165","11q13.4"
"HGNC:38386","MIR3166","microRNA 3166","","hsa-mir-3166","11q14.2"
"HGNC:38242","MIR3167","microRNA 3167","","hsa-mir-3167","11q24.2"
"HGNC:38249","MIR3168","microRNA 3168","","hsa-mir-3168","13q14.11"
"HGNC:38380","MIR3169","microRNA 3169","","hsa-mir-3169","13q21.2"
"HGNC:38282","MIR3170","microRNA 3170","","hsa-mir-3170","13q32.2"
"HGNC:38216","MIR3171","microRNA 3171","","hsa-mir-3171","14q12"
"HGNC:38174","MIR3173","microRNA 3173","","hsa-mir-3173","14q32.13"
"HGNC:38264","MIR3174","microRNA 3174","","hsa-mir-3174","15q26.1"
"HGNC:38299","MIR3175","microRNA 3175","","hsa-mir-3175","15q26.1"
"HGNC:38345","MIR3176","microRNA 3176","","hsa-mir-3176","16p13.3"
"HGNC:38364","MIR3177","microRNA 3177","","hsa-mir-3177","16p13.3"
"HGNC:38381","MIR3178","microRNA 3178","","hsa-mir-3178","16p13.3"
"HGNC:38378","MIR3181","microRNA 3181","","hsa-mir-3181","16q12.1"
"HGNC:38317","MIR3182","microRNA 3182","","hsa-mir-3182","16q23.3"
"HGNC:38237","MIR3183","microRNA 3183","","hsa-mir-3183","17p13.3"
"HGNC:38182","MIR3184","microRNA 3184","","hsa-mir-3184","17q11.2"
"HGNC:38391","MIR3185","microRNA 3185","","hsa-mir-3185","17q21.32"
"HGNC:38311","MIR3186","microRNA 3186","","hsa-mir-3186","17q25.3"
"HGNC:38319","MIR3187","microRNA 3187","","hsa-mir-3187","19p13.3"
"HGNC:38226","MIR3188","microRNA 3188","","hsa-mir-3188","19p13.11"
"HGNC:38307","MIR3189","microRNA 3189","","hsa-mir-3189","19p13.11"
"HGNC:38190","MIR3190","microRNA 3190","","hsa-mir-3190","19q13.32"
"HGNC:38222","MIR3191","microRNA 3191","","hsa-mir-3191","19q13.32"
"HGNC:38202","MIR3192","microRNA 3192","","hsa-mir-3192","20p11.23"
"HGNC:38204","MIR3193","microRNA 3193","","hsa-mir-3193","20q11.21"
"HGNC:38346","MIR3194","microRNA 3194","","hsa-mir-3194","20q13.2"
"HGNC:38250","MIR3195","microRNA 3195","","hsa-mir-3195","20q13.33"
"HGNC:38198","MIR3196","microRNA 3196","","hsa-mir-3196","20q13.33"
"HGNC:38366","MIR3197","microRNA 3197","","hsa-mir-3197","21q22.2"
"HGNC:38227","MIR3200","microRNA 3200","","hsa-mir-3200","22q12.2"
"HGNC:38235","MIR3201","microRNA 3201","","hsa-mir-3201","22q13.32"
"HGNC:41564","MIR3529","microRNA 3529","","hsa-mir-3529","15q26.1"
"HGNC:41875","MIR3591","microRNA 3591","","hsa-mir-3591,hsa-mir-122b","18q21.31"
"HGNC:38922","MIR3605","microRNA 3605","","hsa-mir-3605","1p35.1"
"HGNC:38881","MIR3606","microRNA 3606","","hsa-mir-3606","2q32.2"
"HGNC:38956","MIR3609","microRNA 3609","","hsa-mir-3609","7q22.1"
"HGNC:38942","MIR3610","microRNA 3610","","hsa-mir-3610","8q24.11"
"HGNC:38914","MIR3611","microRNA 3611","","hsa-mir-3611","10p11.21"
"HGNC:38951","MIR3612","microRNA 3612","","hsa-mir-3612","12q24.32"
"HGNC:38964","MIR3613","microRNA 3613","","hsa-mir-3613","13q14.2"
"HGNC:38995","MIR3614","microRNA 3614","","hsa-mir-3614","17q22"
"HGNC:38905","MIR3615","microRNA 3615","","hsa-mir-3615","17q25.1"
"HGNC:38943","MIR3616","microRNA 3616","","hsa-mir-3616","20q13.12"
"HGNC:38977","MIR3617","microRNA 3617","","hsa-mir-3617","20q13.12"
"HGNC:38937","MIR3618","microRNA 3618","","hsa-mir-3618","22q11.21"
"HGNC:38998","MIR3619","microRNA 3619","","hsa-mir-3619","22q13.31"
"HGNC:38917","MIR3620","microRNA 3620","","hsa-mir-3620","1q42.13"
"HGNC:38930","MIR3621","microRNA 3621","","hsa-mir-3621","9q34.3"
"HGNC:38934","MIR3622A","microRNA 3622a","","hsa-mir-3622a","8p21.1"
"HGNC:38961","MIR3622B","microRNA 3622b","","hsa-mir-3622b","8p21.1"
"HGNC:38935","MIR3646","microRNA 3646","","hsa-mir-3646","20q13.12"
"HGNC:38948","MIR3649","microRNA 3649","","hsa-mir-3649","12p13.33"
"HGNC:38981","MIR3650","microRNA 3650","","hsa-mir-3650","5p13.1"
"HGNC:38897","MIR3651","microRNA 3651","","hsa-mir-3651","9q22.31"
"HGNC:38894","MIR3652","microRNA 3652","","hsa-mir-3652","12q23.3"
"HGNC:38896","MIR3654","microRNA 3654","","hsa-mir-3654","7q33"
"HGNC:38960","MIR3655","microRNA 3655","","hsa-mir-3655","5q31.3"
"HGNC:38906","MIR3657","microRNA 3657","","hsa-mir-3657","12q24.13"
"HGNC:38963","MIR3658","microRNA 3658","","hsa-mir-3658","1q24.1"
"HGNC:38882","MIR3659","microRNA 3659","","hsa-mir-3659","1p34.3"
"HGNC:38985","MIR3660","microRNA 3660","","hsa-mir-3660","5q14.3"
"HGNC:38892","MIR3661","microRNA 3661","","hsa-mir-3661","5q31.1"
"HGNC:38983","MIR3662","microRNA 3662","","hsa-mir-3662","6q23.3"
"HGNC:38958","MIR3663","microRNA 3663","","hsa-mir-3663","10q25.3"
"HGNC:38899","MIR3664","microRNA 3664","","hsa-mir-3664","11q13.4"
"HGNC:38939","MIR3665","microRNA 3665","","hsa-mir-3665","13q22.3"
"HGNC:38940","MIR3666","microRNA 3666","","hsa-mir-3666","7q31.1"
"HGNC:38990","MIR3667","microRNA 3667","","hsa-mir-3667","22q13.33"
"HGNC:38982","MIR3668","microRNA 3668","","hsa-mir-3668","6q24.1"
"HGNC:38925","MIR3671","microRNA 3671","","hsa-mir-3671","1p31.3"
"HGNC:38957","MIR3672","microRNA 3672","","hsa-mir-3672","Xq24"
"HGNC:38915","MIR3674","microRNA 3674","","hsa-mir-3674","8p23.3"
"HGNC:38973","MIR3675","microRNA 3675","","hsa-mir-3675","1p36.13"
"HGNC:38932","MIR3677","microRNA 3677","","hsa-mir-3677","16p13.3"
"HGNC:38891","MIR3678","microRNA 3678","","hsa-mir-3678","17q25.1"
"HGNC:38979","MIR3679","microRNA 3679","","hsa-mir-3679","2q21.2"
"HGNC:38994","MIR3681","microRNA 3681","","hsa-mir-3681","2p24.3"
"HGNC:38916","MIR3682","microRNA 3682","","hsa-mir-3682","2p16.2"
"HGNC:38999","MIR3683","microRNA 3683","","hsa-mir-3683","7p22.1"
"HGNC:38950","MIR3684","microRNA 3684","","hsa-mir-3684","4q23"
"HGNC:38886","MIR3685","microRNA 3685","","hsa-mir-3685","12q22"
"HGNC:38887","MIR3686","microRNA 3686","","hsa-mir-3686","8q24.21"
"HGNC:38904","MIR3689A","microRNA 3689a","","hsa-mir-3689a","9q34.3"
"HGNC:38924","MIR3689B","microRNA 3689b","","hsa-mir-3689b","9q34.3"
"HGNC:41816","MIR3689C","microRNA 3689c","","hsa-mir-3689c","9q34.3"
"HGNC:41621","MIR3689D1","microRNA 3689d-1","","hsa-mir-3689d-1","9q34.3"
"HGNC:41846","MIR3689D2","microRNA 3689d-2","","hsa-mir-3689d-2","9q34.3"
"HGNC:41887","MIR3689E","microRNA 3689e","","hsa-mir-3689e","9q34.3"
"HGNC:41702","MIR3689F","microRNA 3689f","","hsa-mir-3689f","9q34.3"
"HGNC:38967","MIR3690","microRNA 3690","MIR3690-2,MIR3690-1","hsa-mir-3690,hsa-mir-3690-2","Xp22.32 and Yp11.3"
"HGNC:38909","MIR3691","microRNA 3691","","hsa-mir-3691","6p25.1"
"HGNC:38885","MIR3692","microRNA 3692","","hsa-mir-3692","6q25.3"
"HGNC:38926","MIR3713","microRNA 3713","","hsa-mir-3713","15q24.3"
"HGNC:38928","MIR3714","microRNA 3714","","hsa-mir-3714","3p24.3"
"HGNC:38988","MIR3907","microRNA 3907","","hsa-mir-3907","7q36.1"
"HGNC:38991","MIR3908","microRNA 3908","","hsa-mir-3908","12q24.31"
"HGNC:38987","MIR3909","microRNA 3909","","hsa-mir-3909","22q12.3"
"HGNC:38962","MIR3911","microRNA 3911","","hsa-mir-3911","9q34.11"
"HGNC:38923","MIR3912","microRNA 3912","","hsa-mir-3912","5q35.1"
"HGNC:38955","MIR3915","microRNA 3915","","hsa-mir-3915","Xp21.1"
"HGNC:38912","MIR3916","microRNA 3916","","hsa-mir-3916","1q44"
"HGNC:38911","MIR3917","microRNA 3917","","hsa-mir-3917","1p36.11"
"HGNC:38919","MIR3918","microRNA 3918","","hsa-mir-3918","6q25.3"
"HGNC:38890","MIR3919","microRNA 3919","","hsa-mir-3919","3q25.32"
"HGNC:38974","MIR3920","microRNA 3920","","hsa-mir-3920","11q22.1"
"HGNC:38936","MIR3921","microRNA 3921","","hsa-mir-3921","3q12.1"
"HGNC:38895","MIR3922","microRNA 3922","","hsa-mir-3922","12q23.3"
"HGNC:38978","MIR3923","microRNA 3923","","hsa-mir-3923","3p12.3"
"HGNC:38984","MIR3924","microRNA 3924","","hsa-mir-3924","10q21.1"
"HGNC:38996","MIR3925","microRNA 3925","","hsa-mir-3925","6p21.2"
"HGNC:38901","MIR3927","microRNA 3927","","hsa-mir-3927","9q31.3"
"HGNC:38933","MIR3928","microRNA 3928","","hsa-mir-3928","22q12.2"
"HGNC:38945","MIR3929","microRNA 3929","","hsa-mir-3929","18q12.2"
"HGNC:38965","MIR3934","microRNA 3934","","hsa-mir-3934","6p21.31"
"HGNC:38918","MIR3935","microRNA 3935","","hsa-mir-3935","16q13"
"HGNC:38947","MIR3936","microRNA 3936","","hsa-mir-3936","5q31.1"
"HGNC:38970","MIR3937","microRNA 3937","","hsa-mir-3937","Xp11.4"
"HGNC:38972","MIR3938","microRNA 3938","","hsa-mir-3938","3p14.3"
"HGNC:38931","MIR3939","microRNA 3939","","hsa-mir-3939","6q27"
"HGNC:38893","MIR3940","microRNA 3940","","hsa-mir-3940","19p13.3"
"HGNC:38949","MIR3941","microRNA 3941","","hsa-mir-3941","10q26.13"
"HGNC:38976","MIR3942","microRNA 3942","","hsa-mir-3942","15q14"
"HGNC:38888","MIR3943","microRNA 3943","","hsa-mir-3943","7p14.1"
"HGNC:38898","MIR3944","microRNA 3944","","hsa-mir-3944","10q26.3"
"HGNC:38954","MIR3945","microRNA 3945","","hsa-mir-3945","4q35.1"
"HGNC:41595","MIR3960","microRNA 3960","","hsa-mir-3960","9q34.11"
"HGNC:41876","MIR3972","microRNA 3972","","hsa-mir-3972","1p36.13"
"HGNC:41756","MIR3973","microRNA 3973","","hsa-mir-3973","11p13"
"HGNC:41672","MIR3974","microRNA 3974","","hsa-mir-3974","12p12.3"
"HGNC:41613","MIR3975","microRNA 3975","","hsa-mir-3975","18q12.2"
"HGNC:41578","MIR3976","microRNA 3976","","hsa-mir-3976","18p11.31"
"HGNC:41721","MIR3977","microRNA 3977","","hsa-mir-3977","5q14.2"
"HGNC:41630","MIR3978","microRNA 3978","","hsa-mir-3978","Xq23"
"HGNC:38370","MIR4251","microRNA 4251","","hsa-mir-4251","1p36.32"
"HGNC:38384","MIR4252","microRNA 4252","","hsa-mir-4252","1p36.31"
"HGNC:38231","MIR4253","microRNA 4253","","hsa-mir-4253","1p36.12"
"HGNC:38193","MIR4254","microRNA 4254","","hsa-mir-4254","1p35.2"
"HGNC:38187","MIR4255","microRNA 4255","","hsa-mir-4255","1p34.3"
"HGNC:38388","MIR4256","microRNA 4256","","hsa-mir-4256","1p13.2"
"HGNC:38312","MIR4257","microRNA 4257","","hsa-mir-4257","1q21.2"
"HGNC:38281","MIR4258","microRNA 4258","","hsa-mir-4258","1q21.3"
"HGNC:38309","MIR4259","microRNA 4259","","hsa-mir-4259","1q23.2"
"HGNC:38179","MIR4260","microRNA 4260","","hsa-mir-4260","1q32.2"
"HGNC:38272","MIR4261","microRNA 4261","","hsa-mir-4261","2p25.1"
"HGNC:38308","MIR4262","microRNA 4262","","hsa-mir-4262","2p25.1"
"HGNC:38365","MIR4263","microRNA 4263","","hsa-mir-4263","2p23.2"
"HGNC:38338","MIR4264","microRNA 4264","","hsa-mir-4264","2p12"
"HGNC:38358","MIR4265","microRNA 4265","","hsa-mir-4265","2q13"
"HGNC:38175","MIR4266","microRNA 4266","","hsa-mir-4266","2q13"
"HGNC:38286","MIR4267","microRNA 4267","","hsa-mir-4267","2q13"
"HGNC:38352","MIR4268","microRNA 4268","","hsa-mir-4268","2q35"
"HGNC:38291","MIR4269","microRNA 4269","","hsa-mir-4269","2q37.3"
"HGNC:38377","MIR4270","microRNA 4270","","hsa-mir-4270","3p25.1"
"HGNC:38332","MIR4271","microRNA 4271","","hsa-mir-4271","3p21.31"
"HGNC:38303","MIR4272","microRNA 4272","","hsa-mir-4272","3p14.1"
"HGNC:38339","MIR4273","microRNA 4273","","hsa-mir-4273","3p12.3"
"HGNC:38194","MIR4274","microRNA 4274","","hsa-mir-4274","4p16.1"
"HGNC:38293","MIR4275","microRNA 4275","","hsa-mir-4275","4p15.1"
"HGNC:38232","MIR4276","microRNA 4276","","hsa-mir-4276","4q34.1"
"HGNC:38367","MIR4277","microRNA 4277","","hsa-mir-4277","5p15.33"
"HGNC:38243","MIR4278","microRNA 4278","","hsa-mir-4278","5p15.31"
"HGNC:38195","MIR4279","microRNA 4279","","hsa-mir-4279","5p13.3"
"HGNC:38334","MIR4280","microRNA 4280","","hsa-mir-4280","5q14.3"
"HGNC:38357","MIR4281","microRNA 4281","","hsa-mir-4281","5q35.2"
"HGNC:38189","MIR4282","microRNA 4282","","hsa-mir-4282","6q13"
"HGNC:38322","MIR4284","microRNA 4284","","hsa-mir-4284","7q11.23"
"HGNC:38337","MIR4285","microRNA 4285","","hsa-mir-4285","7q22.1"
"HGNC:38186","MIR4286","microRNA 4286","","hsa-mir-4286","8p23.1"
"HGNC:38208","MIR4287","microRNA 4287","","hsa-mir-4287","8p21.1"
"HGNC:38203","MIR4288","microRNA 4288","","hsa-mir-4288","8p21.1"
"HGNC:38278","MIR4289","microRNA 4289","","hsa-mir-4289","9q22.1"
"HGNC:38360","MIR4290","microRNA 4290","","hsa-mir-4290","9q22.2"
"HGNC:38267","MIR4291","microRNA 4291","","hsa-mir-4291","9q22.31"
"HGNC:38348","MIR4292","microRNA 4292","","hsa-mir-4292","9q34.3"
"HGNC:38270","MIR4293","microRNA 4293","","hsa-mir-4293","10p13"
"HGNC:38180","MIR4294","microRNA 4294","","hsa-mir-4294","10q11.23"
"HGNC:38220","MIR4295","microRNA 4295","","hsa-mir-4295","10q25.2"
"HGNC:38178","MIR4296","microRNA 4296","","hsa-mir-4296","10q26.13"
"HGNC:38393","MIR4297","microRNA 4297","","hsa-mir-4297","10q26.3"
"HGNC:38313","MIR4298","microRNA 4298","","hsa-mir-4298","11p15.5"
"HGNC:38329","MIR4299","microRNA 4299","","hsa-mir-4299","11p15.4"
"HGNC:38184","MIR4300","microRNA 4300","","hsa-mir-4300","11q14.1"
"HGNC:38323","MIR4301","microRNA 4301","","hsa-mir-4301","11q23.2"
"HGNC:38185","MIR4302","microRNA 4302","","hsa-mir-4302","12p12.1"
"HGNC:38256","MIR4303","microRNA 4303","","hsa-mir-4303","12q23.1"
"HGNC:38276","MIR4304","microRNA 4304","","hsa-mir-4304","12q24.31"
"HGNC:38301","MIR4305","microRNA 4305","","hsa-mir-4305","13q14.11"
"HGNC:38350","MIR4306","microRNA 4306","","hsa-mir-4306","13q32.3"
"HGNC:38257","MIR4307","microRNA 4307","","hsa-mir-4307","14q12"
"HGNC:38206","MIR4308","microRNA 4308","","hsa-mir-4308","14q22.2"
"HGNC:38336","MIR4309","microRNA 4309","","hsa-mir-4309","14q32.31"
"HGNC:38383","MIR4310","microRNA 4310","","hsa-mir-4310","15q15.1"
"HGNC:38207","MIR4311","microRNA 4311","","hsa-mir-4311","15q22.31"
"HGNC:38376","MIR4312","microRNA 4312","","hsa-mir-4312","15q23"
"HGNC:38310","MIR4313","microRNA 4313","","hsa-mir-4313","15q24.2"
"HGNC:38191","MIR4314","microRNA 4314","","hsa-mir-4314","17p13.1"
"HGNC:38306","MIR4316","microRNA 4316","","hsa-mir-4316","17q25.3"
"HGNC:38260","MIR4317","microRNA 4317","","hsa-mir-4317","18p11.31"
"HGNC:38333","MIR4318","microRNA 4318","","hsa-mir-4318","18q12.2"
"HGNC:38212","MIR4319","microRNA 4319","","hsa-mir-4319","18q12.3"
"HGNC:38369","MIR4320","microRNA 4320","","hsa-mir-4320","18q21.1"
"HGNC:38244","MIR4321","microRNA 4321","","hsa-mir-4321","19p13.3"
"HGNC:38261","MIR4322","microRNA 4322","","hsa-mir-4322","19p13.2"
"HGNC:38394","MIR4323","microRNA 4323","","hsa-mir-4323","19q13.2"
"HGNC:38392","MIR4324","microRNA 4324","","hsa-mir-4324","19q13.33"
"HGNC:38304","MIR4325","microRNA 4325","","hsa-mir-4325","20q13.31"
"HGNC:38314","MIR4326","microRNA 4326","","hsa-mir-4326","20q13.33"
"HGNC:38355","MIR4327","microRNA 4327","","hsa-mir-4327","21q22.11"
"HGNC:38280","MIR4328","microRNA 4328","","hsa-mir-4328","Xq21.1"
"HGNC:38290","MIR4329","microRNA 4329","","hsa-mir-4329","Xq23"
"HGNC:38273","MIR4330","microRNA 4330","","hsa-mir-4330","Xq28"
"HGNC:41789","MIR4418","microRNA 4418","","hsa-mir-4418","1p36.12"
"HGNC:41772","MIR4420","microRNA 4420","","hsa-mir-4420","1p35.2"
"HGNC:41879","MIR4421","microRNA 4421","","hsa-mir-4421","1p32.3"
"HGNC:41654","MIR4422","microRNA 4422","","hsa-mir-4422","1p32.3"
"HGNC:41784","MIR4423","microRNA 4423","","hsa-mir-4423","1p22.3"
"HGNC:41805","MIR4424","microRNA 4424","","hsa-mir-4424","1q25.2"
"HGNC:41891","MIR4425","microRNA 4425","","hsa-mir-4425","1p36.11"
"HGNC:41848","MIR4426","microRNA 4426","","hsa-mir-4426","1q31.2"
"HGNC:41678","MIR4427","microRNA 4427","","hsa-mir-4427","1q42.2"
